DATE,MORTGAGE30US
1971-01-01,7.54175
1972-01-01,7.38326923076923
1973-01-01,8.04480769230769
1974-01-01,9.18711538461539
1975-01-01,9.04711538461539
1976-01-01,8.86584905660377
1977-01-01,8.84519230769231
1978-01-01,9.64173076923077
1979-01-01,11.2036538461538
1980-01-01,13.7421153846154
1981-01-01,16.6415094339623
1982-01-01,16.0436538461538
1983-01-01,13.2353846153846
1984-01-01,13.8776923076923
1985-01-01,12.4301923076923
1986-01-01,10.1873076923077
1987-01-01,10.2133962264151
1988-01-01,10.3417307692308
1989-01-01,10.3194230769231
1990-01-01,10.1294230769231
1991-01-01,9.24653846153846
1992-01-01,8.39018867924528
1993-01-01,7.31461538461539
1994-01-01,8.38076923076923
1995-01-01,7.93461538461539
1996-01-01,7.80615384615385
1997-01-01,7.59884615384615
1998-01-01,6.94264150943396
1999-01-01,7.44
2000-01-01,8.05346153846154
2001-01-01,6.96788461538462
2002-01-01,6.53730769230769
2003-01-01,5.82698113207547
2004-01-01,5.83923076923077
2005-01-01,5.86673076923077
2006-01-01,6.41326923076923
2007-01-01,6.33730769230769
2008-01-01,6.02716981132075
2009-01-01,5.03653846153846
2010-01-01,4.68980769230769
2011-01-01,4.44788461538462
2012-01-01,3.6575
2013-01-01,3.97557692307692
2014-01-01,4.1688679245283
2015-01-01,3.85057692307692
2016-01-01,3.65403846153846
2017-01-01,3.98980769230769
2018-01-01,4.54461538461538
2019-01-01,3.93576923076923
2020-01-01,3.11169811320755
2021-01-01,2.95769230769231
2022-01-01,5.34403846153846
2023-01-01,6.80673076923077
